id_type,price,address,number_of_part,img_link
Vente,46000000,"Mbao, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5009356_uploaded_image1_1729774613.jpg
Vente,250000000,"Damel, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5009216_uploaded_image1_1729770369.jpg
Vente,250000000,"Damel, Dakar, Sénégal",12,https://images.coinafrique.com/thumb_5009206_uploaded_image1_1729770164.jpg
location,1300000,"Ngor, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_4984572_uploaded_image1_1728471573.jpg
Location,3000000,"Almadies, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4958781_uploaded_image1_1727139399.jpg
Vente,55000000,"Mbao, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5008519_uploaded_image1_1729726981.jpg
Vente,55000000,"Sipres, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5008515_uploaded_image1_1729726713.jpg
Location,80000,"Saly, Sénégal",3,https://images.coinafrique.com/thumb_4962246_uploaded_image1_1727299225.jpg
Location,110000,"Saly, Sénégal",5,https://images.coinafrique.com/thumb_4962229_uploaded_image1_1727298697.jpg
Vente,110000000,"Saly, Sénégal",7,https://images.coinafrique.com/thumb_5007999_uploaded_image1_1729697444.jpg
Location,420000,"Mbao, Dakar, Sénégal",2,https://images.coinafrique.com/thumb_4957935_uploaded_image1_1727103617.jpg
Location,1600000,"Hann Bel-Air, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_4980937_uploaded_image1_1728299634.jpg
Vente,200000000,"Sicap Liberté, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4958783_uploaded_image1_1727139474.jpg
Vente,250000000,"Ngaparou, Sénégal",6,https://images.coinafrique.com/thumb_5003534_uploaded_image1_1729471779.jpg
Vente,110000000,"Medina, Dakar, Sénégal",2,https://images.coinafrique.com/thumb_5003218_uploaded_image1_1729453186.jpg
Vente,175000000,"Ouest Foire, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5003185_uploaded_image1_1729451099.jpg
Vente,84000549,"Mbour, Sénégal",5,https://images.coinafrique.com/thumb_5003172_uploaded_image1_1729450003.jpg
Location,3000000,"Almadies, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4954328_uploaded_image1_1726875271.jpg
Location,1000000,"Almadies, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5001919_uploaded_image1_1729353355.jpg
Location,800000,"Yoff, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4956126_uploaded_image1_1727010273.jpg
